date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:40:22	557/557	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2031%20Oct%202018%2013:40:21%20GMT	https://ip.tv.br/robots.txt		(from )
10:40:23	40431/40431	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2013:40:21%20GMT	https://ip.tv.br/	C:/Users/welder/Documents/Neves/Neves/ip.tv.br/index.html	(from )
10:40:26	3696/3696	---MCZ	200	added ('OK')	text/css	etag:W/%225b6b3779-e70%22	https://ip.tv.br/js/fullPage/jquery.fullPage.css	C:/Users/welder/Documents/Neves/Neves/ip.tv.br/js/fullPage/jquery.fullPage.css	(from https://ip.tv.br/)
10:40:26	242876/242876	---M--	200	added ('OK')	image/png	etag:%225b6b382c-3b4bc%22	https://ip.tv.br/_appdata/img/801ac9fc00525791fd2a48310a07f57d/58b89708312df082cf1fc5fcdce44a5d.png	C:/Users/welder/Documents/Neves/Neves/ip.tv.br/_appdata/img/801ac9fc00525791fd2a48310a07f57d/58b89708312df082cf1fc5fcdce44a5d.png	(from https://ip.tv.br/)
10:40:29	92629/92629	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	C:/Users/welder/Documents/Neves/Neves/ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	(from https://ip.tv.br/)
10:40:32	237108/237108	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.9.1/jquery-ui.min.js	C:/Users/welder/Documents/Neves/Neves/ajax.googleapis.com/ajax/libs/jqueryui/1.9.1/jquery-ui.min.js	(from https://ip.tv.br/)
10:40:32	10201/10201	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4862-27d9%22	https://cdnjs.cloudflare.com/ajax/libs/bootbox.js/4.4.0/bootbox.min.js	C:/Users/welder/Documents/Neves/Neves/cdnjs.cloudflare.com/ajax/libs/bootbox.js/4.4.0/bootbox.min.js	(from https://ip.tv.br/)
10:40:33	4677/4677	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b6b3912-1245%22	https://ip.tv.br/js/fullPage/vendors/jquery.slimscroll.min.js	C:/Users/welder/Documents/Neves/Neves/ip.tv.br/js/fullPage/vendors/jquery.slimscroll.min.js	(from https://ip.tv.br/)
10:40:33	56522/56522	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b6b377a-dcca%22	https://ip.tv.br/js/fullPage/jquery.fullPage.js	C:/Users/welder/Documents/Neves/Neves/ip.tv.br/js/fullPage/jquery.fullPage.js	(from https://ip.tv.br/)
10:40:33	132531/132531	---MCZ	200	added ('OK')	text/css	etag:W/%225b6b375f-205b3%22	https://ip.tv.br/css/bootstrap.css	C:/Users/welder/Documents/Neves/Neves/ip.tv.br/css/bootstrap.css	(from https://ip.tv.br/)
10:40:34	18860/18860	---MCZ	200	added ('OK')	text/css	etag:W/%225b6b375c-49ac%22	https://ip.tv.br/css/bootstrap-theme.min.css	C:/Users/welder/Documents/Neves/Neves/ip.tv.br/css/bootstrap-theme.min.css	(from https://ip.tv.br/)
10:40:34	31819/31819	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b6b3760-7c4b%22	https://ip.tv.br/js/bootstrap.min.js	C:/Users/welder/Documents/Neves/Neves/ip.tv.br/js/bootstrap.min.js	(from https://ip.tv.br/)
10:40:34	2646/2646	---MCZ	200	added ('OK')	text/css	etag:W/%225b6b3759-a56%22	https://ip.tv.br/layout.css	C:/Users/welder/Documents/Neves/Neves/ip.tv.br/layout.css	(from https://ip.tv.br/)
10:40:34	23739/23739	---MCZ	200	added ('OK')	text/css	etag:W/%225b6b3909-5cbb%22	https://ip.tv.br/css/font-awesome/css/font-awesome.min.css	C:/Users/welder/Documents/Neves/Neves/ip.tv.br/css/font-awesome/css/font-awesome.min.css	(from https://ip.tv.br/)
10:40:40	260803/260803	---M--	200	added ('OK')	image/jpeg	etag:%225b6b3829-3fac3%22	https://ip.tv.br/_appdata/img/801ac9fc00525791fd2a48310a07f57d/043448e6b40f12b701cbd7c973eb711b.jpg	C:/Users/welder/Documents/Neves/Neves/ip.tv.br/_appdata/img/801ac9fc00525791fd2a48310a07f57d/043448e6b40f12b701cbd7c973eb711b.jpg	(from https://ip.tv.br/)
10:40:40	1232/1232	---MCZ	403	error ('Forbidden')	text/html	etag:W/%224d0-572f090347d4a%22	https://ip.tv.br/_appdata/img/801ac9fc00525791fd2a48310a07f57d/	C:/Users/welder/Documents/Neves/Neves/ip.tv.br/_appdata/img/801ac9fc00525791fd2a48310a07f57d/index.html	(from https://ip.tv.br/)
10:40:41	527302/527302	---M--	200	added ('OK')	image/png	etag:%225b6b3856-80bc6%22	https://ip.tv.br/_appdata/img/aab3238922bcc25a6f606eb525ffdc56/0e5569914d83b466dc3ea3c3114c294a.png	C:/Users/welder/Documents/Neves/Neves/ip.tv.br/_appdata/img/aab3238922bcc25a6f606eb525ffdc56/0e5569914d83b466dc3ea3c3114c294a.png	(from https://ip.tv.br/)
10:40:41	152536/152536	---M--	200	added ('OK')	image/jpeg	etag:%225b6b3842-253d8%22	https://ip.tv.br/_appdata/img/aab3238922bcc25a6f606eb525ffdc56/23222f9ccb17eac8e795b7f14dbfb3c2.jpg	C:/Users/welder/Documents/Neves/Neves/ip.tv.br/_appdata/img/aab3238922bcc25a6f606eb525ffdc56/23222f9ccb17eac8e795b7f14dbfb3c2.jpg	(from https://ip.tv.br/)
10:40:41	374664/374664	---M--	200	added ('OK')	image/jpeg	etag:%225b6b3850-5b788%22	https://ip.tv.br/_appdata/img/aab3238922bcc25a6f606eb525ffdc56/3192da7b831ed185f62870fd5495203d.jpg	C:/Users/welder/Documents/Neves/Neves/ip.tv.br/_appdata/img/aab3238922bcc25a6f606eb525ffdc56/3192da7b831ed185f62870fd5495203d.jpg	(from https://ip.tv.br/)
10:40:41	7093/7093	---MCZ	200	added ('OK')	text/css	etag:W/%225b85774f-1bb5%22	https://ip.tv.br//_appdata/css/aab3238922bcc25a6f606eb525ffdc56.css	C:/Users/welder/Documents/Neves/Neves/ip.tv.br/_appdata/css/aab3238922bcc25a6f606eb525ffdc56.css	(from https://ip.tv.br/)
